congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
81,1,B000649,Reva,Zilpha Beck,Bosone,,1895-04-02,UT,1,0,1/3/1949,53.8
81,1,W000264,Philip,James,Welch,,1895-04-04,MO,1,0,1/3/1949,53.7
81,1,G000369,William,Thomas,Granahan,,1895-07-26,PA,1,0,1/3/1949,53.4
81,1,L000332,Neil,Joseph,Linehan,,1895-09-23,IL,1,0,1/3/1949,53.3
81,1,A000225,Wayne,Norviel,Aspinall,,1896-04-03,CO,1,0,1/3/1949,52.8
81,1,B000178,William,Aloysius,Barrett,,1896-08-14,PA,1,0,1/3/1949,52.4
81,1,C000336,Richard,Thurmond,Chatham,,1896-08-16,NC,1,0,1/3/1949,52.4
81,1,P000408,James,Gould,Polk,,1896-10-06,OH,1,0,1/3/1949,52.2
81,1,D000260,Winfield,Kirkpatrick,Denton,,1896-10-28,IN,1,0,1/3/1949,52.2
81,1,C000162,Albert,Sidney Johnson,Carnahan,,1897-01-09,MO,1,0,1/3/1949,52
81,1,C000259,Anthony,,Cavalcante,,1897-02-06,PA,1,0,1/3/1949,51.9
81,1,C000156,Frank,Ertel,Carlyle,,1897-04-07,NC,1,0,1/3/1949,51.7
81,1,S001056,John,Berchmans,Sullivan,,1897-10-10,MO,1,0,1/3/1949,51.2
81,1,R000187,George,Milton,Rhodes,,1898-02-24,PA,1,0,1/3/1949,50.9
81,1,U000015,Thomas,Rust,Underwood,,1898-03-03,KY,1,0,1/3/1949,50.8
81,1,I000037,Theodore,Leonard,Irving,,1898-03-24,MO,1,0,1/3/1949,50.8
81,1,M001094,James,Joseph,Murphy,,1898-11-03,NY,1,0,1/3/1949,50.2
81,1,M000045,Clare,,Magee,,1899-03-31,MO,1,0,1/3/1949,49.8
81,1,F000399,Thomas,Bacon,Fugate,,1899-04-10,VA,1,0,1/3/1949,49.7
81,1,D000198,Edward,,deGraffenried,,1899-06-30,AL,1,0,1/3/1949,49.5
81,1,T000056,Anthony,Francis,Tauriello,,1899-08-14,NY,1,0,1/3/1949,49.4
81,1,O000009,George,Donoghue,O'Brien,,1/1/1900,MI,1,0,1/3/1949,49
81,1,L000318,James,Francis,Lind,,10/17/1900,PA,1,0,1/3/1949,48.2
81,1,W000359,Cecil,Fielding,White,,12/12/1900,CA,1,0,1/3/1949,48.1
81,1,D000211,James,Joseph,Delaney,,3/19/1901,NY,1,0,1/3/1949,47.8
81,1,G000219,William,Franklin,Gilmer,,6/7/1901,OK,1,0,1/3/1949,47.6
81,1,M000455,Christopher,Columbus,McGrath,,5/15/1902,NY,1,0,1/3/1949,46.6
81,1,D000071,Harry,James,Davenport,,8/22/1902,PA,1,0,1/3/1949,46.4
81,1,B001131,Maurice,Gwinn,Burnside,,8/23/1902,WV,1,0,1/3/1949,46.4
81,1,K000012,Raymond,Willard,Karst,,12/31/1902,MO,1,0,1/3/1949,46
81,1,Q000021,Thomas,Vincent,Quinn,,3/16/1903,NY,1,0,1/3/1949,45.8
81,1,D000402,Isidore,,Dollinger,,11/13/1903,NY,1,0,1/3/1949,45.1
81,1,F000209,Daniel,John,Flood,,11/26/1903,PA,1,0,1/3/1949,45.1
81,1,S000219,Robert,Thompson,Secrest,,1/22/1904,OH,1,0,1/3/1949,45
81,1,S000829,Thomas,Jefferson,Steed,,3/2/1904,OK,1,0,1/3/1949,44.8
81,1,H000858,Charles,Robert,Howell,,4/23/1904,NJ,1,0,1/3/1949,44.7
81,1,B001100,Thomas,Henry,Burke,,5/6/1904,OH,1,0,1/3/1949,44.7
81,1,M000144,John,Henry,Marsalis,,5/9/1904,CO,1,0,1/3/1949,44.7
81,1,M001045,Morgan,Moore,Moulder,,8/31/1904,MO,1,0,1/3/1949,44.3
81,1,W000559,Edwin,Edward,Willis,,10/2/1904,LA,1,0,1/3/1949,44.3
81,1,H000460,Louis,Benjamin,Heller,,2/10/1905,NY,1,0,1/3/1949,43.9
81,1,W000582,George,Howard,Wilson,,8/21/1905,OK,1,0,1/3/1949,43.4
81,1,S000327,John,Francis,Shelley,,9/3/1905,CA,1,0,1/3/1949,43.3
81,1,M000528,Clinton,Dotson,McKinnon,,2/5/1906,CA,1,0,1/3/1949,42.9
81,1,W000439,Victor,Eugene,Wickersham,,2/9/1906,OK,1,0,1/3/1949,42.9
81,1,J000034,Andrew,,Jacobs,,2/22/1906,IN,1,0,1/3/1949,42.9
81,1,M000465,John,Andrew,McGuire,,2/28/1906,CT,1,0,1/3/1949,42.8
81,1,M000152,Fred,,Marshall,,3/13/1906,MN,1,0,1/3/1949,42.8
81,1,G000331,Chester,Charles,Gorski,,6/22/1906,NY,1,0,1/3/1949,42.5
81,1,B000448,Andrew,John,Biemiller,,7/23/1906,WI,1,0,1/3/1949,42.5
81,1,K000070,Edna,Flannery,Kelly,,8/20/1906,NY,1,0,1/3/1949,42.4
81,1,M000814,Hugh,Burnton,Mitchell,,3/22/1907,WA,1,0,1/3/1949,41.8
81,1,S000778,Harley,Orrin,Staggers,,8/3/1907,WV,1,0,1/3/1949,41.4
81,1,P000107,Harold,Ambrose,Patten,,10/6/1907,AZ,1,0,1/3/1949,41.2
81,1,C000386,Earl,,Chudoff,,11/15/1907,PA,1,0,1/3/1949,41.1
81,1,W000019,Earl,Thomas,Wagner,,4/27/1908,OH,1,0,1/3/1949,40.7
81,1,C000504,Louis,Gary,Clemente,,6/10/1908,NY,1,0,1/3/1949,40.6
81,1,B000792,Edward,Grimes,Breen,,6/10/1908,OH,1,0,1/3/1949,40.6
81,1,T000237,William,Homer,Thornberry,,1/9/1909,TX,1,0,1/3/1949,40
81,1,H000530,Albert,Sydney,Herlong,Jr.,2/14/1909,FL,1,0,1/3/1949,39.9
81,1,R000374,Peter,Wallace,Rodino,Jr.,6/7/1909,NJ,1,0,1/3/1949,39.6
81,1,Y000013,Sidney,Richard,Yates,,8/27/1909,IL,1,0,1/3/1949,39.4
81,1,G000421,William,Joseph,Green,Jr.,3/5/1910,PA,1,0,1/3/1949,38.8
81,1,R000191,Abraham,Alexander,Ribicoff,,4/9/1910,CT,1,0,1/3/1949,38.7
81,1,B000371,Charles,Edward,Bennett,,12/2/1910,FL,1,0,1/3/1949,38.1
81,1,T000005,Boyd,Anderson,Tackett,,5/9/1911,AR,1,0,1/3/1949,37.7
81,1,H000408,Wayne,Levere,Hays,,5/13/1911,OH,1,0,1/3/1949,37.6
81,1,F000431,John,Foster,Furcolo,,7/29/1911,MA,1,0,1/3/1949,37.4
81,1,B000141,Walter,Stephan,Baring,Jr.,9/9/1911,NV,1,0,1/3/1949,37.3
81,1,P000230,Carl,Dewey,Perkins,,10/15/1912,KY,1,0,1/3/1949,36.2
81,1,Z000001,Clement,John,Zablocki,,11/18/1912,WI,1,0,1/3/1949,36.1
81,1,W000100,John,Richard,Walsh,,5/22/1913,IN,1,0,1/3/1949,35.6
81,1,E000120,Carl,Atwood,Elliott,,12/20/1913,AL,1,0,1/3/1949,35
81,1,J000263,Woodrow,Wilson,Jones,,1/26/1914,NC,1,0,1/3/1949,34.9
81,1,A000054,Hugh,Joseph,Addonizio,,1/31/1914,NJ,1,0,1/3/1949,34.9
81,1,S001087,James,Patrick,Sutton,,10/31/1915,TN,1,0,1/3/1949,33.2
81,1,C000347,Chester,Anton,Chesney,,3/9/1916,IL,1,0,1/3/1949,32.8
81,1,M000311,Eugene,Joseph,McCarthy,,3/29/1916,MN,1,0,1/3/1949,32.8
81,1,B000605,Richard,Walker,Bolling,,5/17/1916,MO,1,0,1/3/1949,32.6
81,1,M000020,Peter,Francis,Mack,Jr.,11/1/1916,IL,1,0,1/3/1949,32.2
81,1,H000202,James,Butler,Hare,,9/4/1918,SC,1,0,1/3/1949,30.3
81,1,C000586,Robert,Lewis,Coffey,Jr.,10/21/1918,PA,1,0,1/3/1949,30.2
81,1,K000334,Edward,H.,Kruse,,10/22/1918,IN,1,0,1/3/1949,30.2
81,1,N000129,James,Ellsworth,Noland,,4/22/1920,IN,1,0,1/3/1949,28.7
81,1,D000089,John,Clay,Davies,,5/1/1920,NY,1,0,1/3/1949,28.7
81,1,S000439,Hugo,Sheridan,Sims,Jr.,10/14/1921,SC,1,0,1/3/1949,27.2
82,1,D000228,John,Joseph,Dempsey,,1879-06-22,NM,1,0,1/3/1951,71.5
82,1,G000438,Ernest,,Greenwood,,1884-11-25,NY,1,0,1/3/1951,66.1
82,1,R000260,John,Jacob,Riley,,1895-02-01,SC,1,0,1/3/1951,55.9
82,1,K000040,Maude,Elizabeth,Kee,,1895-06-07,WV,1,0,1/3/1951,55.6
82,1,K000273,John,Carl,Kluczynski,,1896-02-15,IL,1,0,1/3/1951,54.9
82,1,F000283,Elijah,Lewis,Forrester,,1896-08-16,GA,1,0,1/3/1951,54.4
82,1,D000421,James,George,Donovan,,1898-12-15,NY,1,0,1/3/1951,52
82,1,M000014,Thaddeus,Michael,Machrowicz,,1899-08-21,MI,1,0,1/3/1951,51.4
82,1,R000389,Byron,Giles,Rogers,,8/1/1900,CO,1,0,1/3/1951,50.4
82,1,O000015,Leo,William,O'Brien,,9/21/1900,NY,1,0,1/3/1951,50.3
82,1,W000212,John,Clarence,Watts,,7/9/1902,KY,1,0,1/3/1951,48.5
82,1,B001009,Vera,Daerr,Buchanan,,7/20/1902,PA,1,0,1/3/1951,48.5
82,1,M000577,Chester,Bartow,McMullen,,12/6/1902,FL,1,0,1/3/1951,48.1
82,1,F000126,Sidney,Asher,Fine,,9/14/1903,NY,1,0,1/3/1951,47.3
82,1,A000255,Victor,L'Episcopo,Anfuso,,3/10/1905,NY,1,0,1/3/1951,45.8
82,1,R000404,Walter,Edward,Rogers,,7/19/1908,TX,1,0,1/3/1951,42.5
82,1,Y000024,Samuel,William,Yorty,,10/1/1909,CA,1,0,1/3/1951,41.3
82,1,S000405,Alfred,Dennis,Sieminski,,8/23/1911,NJ,1,0,1/3/1951,39.4
82,1,D000467,John,Vernard,Dowdy,,2/11/1912,TX,1,0,1/3/1951,38.9
82,1,R000314,Kenneth,Allison,Roberts,,11/1/1912,AL,1,0,1/3/1951,38.2
82,1,I000007,Frank,Neville,Ikard,,1/30/1913,TX,1,0,1/3/1951,37.9
82,1,L000089,William,Courtland,Lantaff,,7/31/1913,FL,1,0,1/3/1951,37.4
82,1,L000252,John,,Lesinski,Jr.,12/28/1914,MI,1,0,1/3/1951,36
82,1,J000057,John,,Jarman,,7/17/1915,OK,1,0,1/3/1951,35.5
82,1,D000434,William,Jennings Bryan,Dorn,,4/14/1916,SC,1,0,1/3/1951,34.7
82,1,S000533,Frank,Ellis,Smith,,2/21/1918,MS,1,0,1/3/1951,32.9
83,1,B000698,James,Bernard,Bowler,,1875-02-05,IL,1,0,1/3/1953,77.9
83,1,M000729,Howard,Shultz,Miller,,1879-02-27,KS,1,0,1/3/1953,73.8
83,1,O000053,Barratt,,O'Hara,,1882-04-28,IL,1,0,1/3/1953,70.7
83,1,L000416,George,Shannon,Long,,1883-09-11,LA,1,0,1/3/1953,69.3
83,1,C000080,Courtney,Warren,Campbell,,1895-04-29,FL,1,0,1/3/1953,57.7
83,1,S000390,George,Adams,Shuford,,1895-09-05,NC,1,0,1/3/1953,57.3
83,1,G000124,Brady,Preston,Gentry,,1896-03-25,TX,1,0,1/3/1953,56.8
83,1,T000395,William,Munford,Tuck,,1896-09-28,VA,1,0,1/3/1953,56.3
83,1,F000384,Samuel,Nathaniel,Friedel,,1898-04-18,MD,1,0,1/3/1953,54.7
83,1,P000349,John,Leonard,Pilcher,,1898-08-27,GA,1,0,1/3/1953,54.4
83,1,H000041,James,Andrew,Haley,,1899-01-04,FL,1,0,1/3/1953,54
83,1,D000338,Martin,,Dies,Jr.,11/5/1900,TX,1,0,1/3/1953,52.2
83,1,J000158,Lester,Roland,Johnson,,6/16/1901,WI,1,0,1/3/1953,51.6
83,1,S001057,Leonor,Kretzer,Sullivan,,8/21/1902,MO,1,0,1/3/1953,50.4
83,1,A000223,Robert,Thomas,Ashmore,,2/22/1904,SC,1,0,1/3/1953,48.9
83,1,P000287,Gracie,Bowers,Pfost,,3/12/1906,ID,1,0,1/3/1953,46.8
83,1,B001212,James,Aloysius,Byrne,,6/22/1906,PA,1,0,1/3/1953,46.5
83,1,D000390,Thomas,Joseph,Dodd,,5/15/1907,CT,1,0,1/3/1953,45.6
83,1,L000054,Phillip,Mitchell,Landrum,,9/10/1907,GA,1,0,1/3/1953,45.3
83,1,M000253,Donald,Ray,Matthews,,10/3/1907,FL,1,0,1/3/1953,45.3
83,1,N000009,William,Huston,Natcher,,9/11/1909,KY,1,0,1/3/1953,43.3
83,1,M000845,Robert,Homer,Mollohan,,9/18/1909,WV,1,0,1/3/1953,43.3
83,1,M000671,Lee,Warren,Metcalf,,1/28/1911,MT,1,0,1/3/1953,41.9
83,1,M000052,Donald,Hammer,Magnuson,,3/7/1911,WA,1,0,1/3/1953,41.8
83,1,A000094,Hugh,Quincy,Alexander,,8/7/1911,NC,1,0,1/3/1953,41.4
83,1,B000600,Edward,Patrick,Boland,,10/1/1911,MA,1,0,1/3/1953,41.3
83,1,C000674,Robert,Likens,Condon,,11/10/1912,CA,1,0,1/3/1953,40.1
83,1,O000098,Thomas,Phillip,O'Neill,Jr.,12/9/1912,MA,1,0,1/3/1953,40.1
83,1,F000319,Lawrence,H.,Fountain,,4/23/1913,NC,1,0,1/3/1953,39.7
83,1,H000753,Lester,,Holtzman,,6/1/1913,NY,1,0,1/3/1953,39.6
83,1,H000013,Harlan,Francis,Hagen,,10/8/1914,CA,1,0,1/3/1953,38.2
83,1,F000229,John,James,Flynt,Jr.,11/8/1914,GA,1,0,1/3/1953,38.2
83,1,M001035,John,Emerson,Moss,,4/13/1915,CA,1,0,1/3/1953,37.7
83,1,T000218,Theo,Ashton,Thompson,,3/31/1916,LA,1,0,1/3/1953,36.8
83,1,B001210,Robert,C.,Byrd,,11/20/1917,WV,1,0,1/3/1953,35.1
83,1,E000054,Edmond,Augustus,Edmondson,,4/7/1919,OK,1,0,1/3/1953,33.7
83,1,W000502,Harrison,Arlington,Williams,Jr.,12/10/1919,NJ,1,0,1/3/1953,33.1
83,1,S000232,Armistead,Inge,Selden,Jr.,2/20/1921,AL,1,0,1/3/1953,31.9
83,1,B000880,Jack,Bascom,Brooks,,12/18/1922,TX,1,0,1/3/1953,30
84,1,C000383,George,Henry,Christopher,,1888-12-09,MO,1,0,1/5/1955,66.1
84,1,H000717,Elmer,Joseph,Holland,,1894-01-08,PA,1,0,1/5/1955,61
84,1,G000368,Kathryn,Elizabeth,Granahan,,1894-12-07,PA,1,0,1/5/1955,60.1
84,1,D000260,Winfield,Kirkpatrick,Denton,,1896-10-28,IN,1,0,1/5/1955,58.2
84,1,H000412,Donald,,Hayworth,,1898-01-13,MI,1,0,1/5/1955,57
84,1,B001131,Maurice,Gwinn,Burnside,,8/23/1902,WV,1,0,1/5/1955,52.4
84,1,F000209,Daniel,John,Flood,,11/26/1903,PA,1,0,1/5/1955,51.1
84,1,A000255,Victor,L'Episcopo,Anfuso,,3/10/1905,NY,1,0,1/5/1955,49.8
84,1,D000083,Irwin,Delmore,Davidson,,1/2/1906,NY,1,0,1/5/1955,49
84,1,M000418,Harris,Brown,McDowell,Jr.,2/10/1906,DE,1,0,1/5/1955,48.9
84,1,Z000003,Herbert,,Zelenko,,3/16/1906,NY,1,0,1/5/1955,48.8
84,1,H000947,William,Raleigh,Hull,Jr.,4/17/1906,MO,1,0,1/5/1955,48.7
84,1,B000727,Charles,Augustus,Boyle,,8/13/1907,IL,1,0,1/5/1955,47.4
84,1,R000426,James,,Roosevelt,,12/23/1907,CA,1,0,1/5/1955,47
84,1,H000424,James,Christopher,Healey,,12/24/1909,NY,1,0,1/5/1955,45
84,1,G000407,Edith,Starrett,Green,,1/17/1910,OR,1,0,1/5/1955,45
84,1,B000342,John,Junior,Bell,,5/15/1910,TX,1,0,1/5/1955,44.6
84,1,S000454,Bernice,Frederic,Sisk,,12/14/1910,CA,1,0,1/5/1955,44.1
84,1,G000471,Martha,Wright,Griffiths,,1/29/1912,MI,1,0,1/5/1955,42.9
84,1,R000165,Henry,Schoellkopf,Reuss,,2/22/1912,WI,1,0,1/5/1955,42.9
84,1,B000561,Iris,Faircloth,Blitch,,4/25/1912,GA,1,0,1/5/1955,42.7
84,1,K000300,Coya,Gjesdal,Knutson,,8/22/1912,MN,1,0,1/5/1955,42.4
84,1,T000408,Thomas,James,Tumulty,,3/2/1913,NJ,1,0,1/5/1955,41.8
84,1,V000047,Charles,Albert,Vanik,,4/7/1913,OH,1,0,1/5/1955,41.7
84,1,L000081,Richard,Estep,Lankford,,7/22/1914,MD,1,0,1/5/1955,40.5
84,1,C000431,Frank,Monroe,Clark,,12/24/1915,PA,1,0,1/5/1955,39
84,1,F000041,Dante,Bruno,Fascell,,3/9/1917,FL,1,0,1/5/1955,37.8
84,1,M001107,James,Cunningham,Murray,,5/16/1917,IL,1,0,1/5/1955,37.6
84,1,M000005,Torbert,Hart,Macdonald,,6/6/1917,MA,1,0,1/5/1955,37.6
84,1,B000223,Ross,,Bass,,3/17/1918,TN,1,0,1/5/1955,36.8
84,1,Q000012,James,Michael,Quigley,,3/30/1918,PA,1,0,1/5/1955,36.8
84,1,T000200,Frank,,Thompson,Jr.,7/26/1918,NJ,1,0,1/5/1955,36.4
84,1,K000177,Joe,Madison,Kilgore,,12/10/1918,TX,1,0,1/5/1955,36.1
84,1,J000098,William,Pat,Jennings,,8/20/1919,VA,1,0,1/5/1955,35.4
84,1,U000002,Stewart,Lee,Udall,,1/31/1920,AZ,1,0,1/5/1955,34.9
84,1,H000904,George,,Huddleston,Jr.,3/19/1920,AL,1,0,1/5/1955,34.8
84,1,R000547,J.,T.,Rutherford,,5/30/1921,TX,1,0,1/5/1955,33.6
84,1,R000401,Paul,Grant,Rogers,,6/4/1921,FL,1,0,1/5/1955,33.6
84,1,D000344,Charles,Coles,Diggs,Jr.,12/2/1922,MI,1,0,1/5/1955,32.1
84,1,W000763,James,Claude,Wright,Jr.,12/22/1922,TX,1,0,1/5/1955,32
84,1,A000222,Thomas,Ludlow,Ashley,,1/11/1923,OH,1,0,1/5/1955,32
84,1,G000400,Kenneth,James,Gray,,11/14/1924,IL,1,0,1/5/1955,30.1
84,1,D000355,John,D.,Dingell,,7/8/1926,MI,1,0,1/5/1955,28.5
85,1,L000446,Joseph,Carlton,Loser,,1892-10-01,TN,1,0,1/3/1957,64.3
85,1,N000113,Robert,Nelson Cornelius,Nix,Sr.,1898-08-09,PA,1,0,1/3/1957,58.4
85,1,M000991,Toby,,Morris,,1899-02-28,OK,1,0,1/3/1957,57.8
85,1,S000075,Dalip,Singh,Saund,,1899-09-20,CA,1,0,1/3/1957,57.3
85,1,L000299,Roland,Victor,Libonati,,12/29/1900,IL,1,0,1/3/1957,56
85,1,B000791,James,Floyd,Breeding,,9/28/1901,KS,1,0,1/3/1957,55.3
85,1,F000015,Leonard,,Farbstein,,10/12/1902,NY,1,0,1/3/1957,54.2
85,1,S000184,Ralph,James,Scott,,10/15/1905,NC,1,0,1/3/1957,51.2
85,1,A000200,LeRoy,Hagen,Anderson,,2/2/1906,MT,1,0,1/3/1957,50.9
85,1,L000240,Alton,Asa,Lennon,,8/17/1906,NC,1,0,1/3/1957,50.4
85,1,D000219,Vincent,John,Dellay,,6/23/1907,NJ,1,0,1/3/1957,49.5
85,1,D000255,John,Herman,Dent,,3/10/1908,PA,1,0,1/3/1957,48.8
85,1,K000249,Alvin,Paul,Kitchin,,9/13/1908,NC,1,0,1/3/1957,48.3
85,1,B001127,John,Anthony,Burns,,3/30/1909,HI,1,0,1/3/1957,47.8
85,1,T000118,Ludwig,,Teller,,6/22/1911,NY,1,0,1/3/1957,45.5
85,1,B000141,Walter,Stephan,Baring,Jr.,9/9/1911,NV,1,0,1/3/1957,45.3
85,1,S000057,Alfred,Edward,Santangelo,,6/4/1912,NY,1,0,1/3/1957,44.6
85,1,B000296,Lindley,Garrison,Beckworth,Sr.,6/30/1913,TX,1,0,1/3/1957,43.5
85,1,U000004,Albert,Conrad,Ullman,,3/9/1914,OR,1,0,1/3/1957,42.8
85,1,E000266,Robert,Ashton,Everett,,2/24/1915,TN,1,0,1/3/1957,41.9
85,1,H000471,Robert,Witherspoon,Hemphill,,5/10/1915,SC,1,0,1/3/1957,41.7
85,1,W000410,Basil,Lee,Whitener,,5/14/1915,NC,1,0,1/3/1957,41.6
85,1,M000876,Joseph,Manuel,Montoya,,9/24/1915,NM,1,0,1/3/1957,41.3
85,1,Y000043,John,Andrew,Young,,11/10/1916,TX,1,0,1/3/1957,40.1
85,1,M000436,John,Joseph,McFall,,2/20/1918,CA,1,0,1/3/1957,38.9
85,1,P000439,Charles,Orlando,Porter,,4/4/1919,OR,1,0,1/3/1957,37.8
85,1,C000589,Frank,Morey,Coffin,,7/11/1919,ME,1,0,1/3/1957,37.5
85,1,B000908,Charles,Harrison,Brown,,10/22/1920,MO,1,0,1/3/1957,36.2
85,1,M000452,George,Stanley,McGovern,,7/19/1922,SD,1,0,1/3/1957,34.5
85,1,M000812,Harlan,Erwin,Mitchell,,8/17/1924,GA,1,0,1/3/1957,32.4
85,1,C000540,Merwin,,Coad,,9/28/1924,IA,1,0,1/3/1957,32.3
86,1,O000074,James,Churchill,Oliver,,1895-08-06,ME,1,0,1/7/1959,63.4
86,1,M001104,William,Thomas,Murphy,,1899-08-07,IL,1,0,1/7/1959,59.4
86,1,B000699,Chester,Bliss,Bowles,,4/5/1901,CT,1,0,1/7/1959,57.8
86,1,R000282,Ralph,Julian,Rivers,,5/23/1903,AK,1,0,1/7/1959,55.6
86,1,H000216,Randall,S.,Harmon,,7/19/1903,IN,1,0,1/7/1959,55.5
86,1,G000130,Newell,Adolphus,George,,9/24/1904,KS,1,0,1/7/1959,54.3
